2022-04-06 07:43:50,003:Key.shift_r:
2022-04-06 07:43:50,338:'h':
2022-04-06 07:43:50,496:'i':
2022-04-06 07:43:50,906:Key.enter:
2022-04-06 07:43:51,365:Key.shift_r:
2022-04-06 07:43:51,607:'T':
2022-04-06 07:43:51,890:'a':
2022-04-06 07:43:52,036:'n':
2022-04-06 07:43:52,223:'m':
2022-04-06 07:43:52,380:'a':
2022-04-06 07:43:52,614:'y':
2022-04-06 07:43:53,024:Key.space:
2022-04-06 07:43:53,768:Key.enter:
2022-04-06 07:43:54,110:Key.shift_r:
2022-04-06 07:43:54,306:'H':
2022-04-06 07:43:54,534:'o':
2022-04-06 07:43:54,685:'w':
2022-04-06 07:43:54,883:Key.space:
2022-04-06 07:43:55,615:Key.enter:
2022-04-06 07:43:55,903:Key.shift_r:
2022-04-06 07:43:56,063:'A':
2022-04-06 07:43:56,295:'r':
2022-04-06 07:43:56,405:'e':
2022-04-06 07:43:56,613:Key.space:
2022-04-06 07:43:56,949:Key.shift_r:
2022-04-06 07:43:57,496:Key.enter:
2022-04-06 07:43:57,772:Key.shift_r:
2022-04-06 07:43:57,900:'Y':
2022-04-06 07:43:58,173:'o':
2022-04-06 07:43:58,265:'u':
2022-04-06 07:43:58,903:Key.enter:
2022-04-06 07:44:00,588:Key.ctrl:
2022-04-06 07:44:00,834:'c':
2022-04-06 07:46:39,112:Key.shift_r:
2022-04-06 07:46:39,263:'H':
2022-04-06 07:46:39,520:'i':
2022-04-06 07:46:39,941:Key.enter:
2022-04-06 07:46:48,371:Key.alt:
2022-04-06 07:46:48,430:Key.tab:
2022-04-06 07:47:07,974:Key.alt:
2022-04-06 07:47:08,004:Key.tab:
2022-04-06 07:47:26,479:Key.ctrl:
2022-04-06 07:47:26,628:Key.shift:
2022-04-06 07:47:27,759:Key.alt:
2022-04-06 07:47:27,893:Key.tab:
2022-04-06 07:47:30,302:Key.ctrl:
2022-04-06 07:47:30,704:'c':
2022-04-06 07:47:31,355:Key.ctrl:
2022-04-06 07:47:31,543:Key.alt:
2022-04-06 07:47:31,869:'t':
2022-04-06 07:47:32,782:'t':
2022-04-06 07:47:32,909:'o':
2022-04-06 07:47:33,016:'u':
2022-04-06 07:47:33,112:'c':
2022-04-06 07:47:33,252:'h':
2022-04-06 07:47:33,407:Key.space:
2022-04-06 07:47:34,193:Key.shift_r:
2022-04-06 07:47:37,032:Key.enter:
2022-04-06 07:47:40,109:Key.alt:
2022-04-06 07:47:40,279:Key.tab:
2022-04-06 07:47:40,924:Key.alt:
2022-04-06 07:47:41,061:Key.tab:
2022-04-06 07:47:42,819:Key.shift:
2022-04-06 07:47:43,341:Key.f10:
2022-04-06 07:47:43,770:'e':
2022-04-06 07:47:46,569:'t':
2022-04-06 07:47:46,652:'o':
2022-04-06 07:47:46,745:'u':
2022-04-06 07:47:46,923:'c':
2022-04-06 07:47:47,023:'h':
2022-04-06 07:47:47,802:Key.space:
2022-04-06 07:47:50,115:Key.enter:
2022-04-06 07:47:57,779:Key.ctrl_r:
2022-04-06 07:47:57,983:'l':
2022-04-06 07:47:58,613:Key.ctrl:
2022-04-06 07:47:58,949:'c':
2022-04-06 07:47:59,586:Key.alt:
2022-04-06 07:47:59,757:Key.tab:
2022-04-06 07:48:02,455:Key.ctrl:
2022-04-06 07:48:02,751:'v':
2022-04-06 07:48:07,245:Key.alt:
2022-04-06 07:48:07,408:Key.tab:
2022-04-06 07:48:13,132:'/':
2022-04-06 07:48:13,332:Key.ctrl:
2022-04-06 07:48:14,004:'s':
